industry_group_Education,industry_group_Engineering/Construction,industry_group_Finance,industry_group_Government/Nonprofit,industry_group_Healthcare,industry_group_Manufacturing/Industrial,industry_group_Other,industry_group_Other Business/Services,industry_group_Retail/Hospitality,industry_group_Technology,industry_group_Transportation,salary_avg_norm,location_legitimacy,loc_len,loc_word_count,has_us_prefix,has_state_code,starts_with_direction,contains_digits,fraudulent
False,False,True,False,False,False,False,False,False,False,False,0.00014261616,1,9,1,0,0,0,0,1
False,False,False,False,False,False,False,False,True,False,False,1.5384616e-09,3,16,3,1,1,0,0,0
False,False,True,False,False,False,False,False,False,False,False,0.00013550077,1,14,1,0,0,0,0,1
False,False,False,False,True,False,False,False,False,False,False,1.5384616e-09,3,16,3,1,1,0,0,0
False,False,False,False,False,False,False,False,False,True,False,0.00016112001,1,9,1,0,0,0,0,1
False,False,False,False,False,False,False,False,False,True,False,1.5384616e-09,3,19,4,1,1,0,0,0
False,False,False,False,False,False,True,False,False,False,False,1.5384616e-09,3,14,3,1,1,0,0,0
False,False,False,False,False,False,False,False,False,True,False,0.00013053462,1,11,1,0,0,0,0,1
False,False,False,False,False,False,True,False,False,False,False,1.5384616e-09,3,15,3,0,1,0,0,0
False,False,False,False,False,False,False,False,False,True,False,1.5384616e-09,3,23,3,1,1,0,0,0
False,False,False,False,False,False,True,False,False,False,False,1.5384616e-09,3,12,3,0,1,0,0,0
False,False,False,False,False,False,False,False,False,True,False,7.692461e-05,2,21,4,1,1,0,0,0
False,False,False,False,False,False,False,False,True,False,False,4.077077e-05,3,21,4,0,1,0,0,0
False,False,False,False,True,False,False,False,False,False,False,0.00013161694,1,10,1,0,0,0,0,1
False,False,False,False,False,False,False,False,False,True,False,1.5384616e-09,3,16,3,1,1,0,0,0
False,False,False,False,False,True,False,False,False,False,False,1.5384616e-09,3,15,3,1,1,0,0,1
False,False,False,False,False,False,False,False,True,False,False,0.00011337769,1,10,1,0,0,0,0,1
False,False,False,False,False,False,False,False,True,False,False,0.00015432155,1,14,1,0,0,0,0,1
False,False,True,False,False,False,False,False,False,False,False,1.5384616e-09,3,25,4,1,1,0,0,1
False,False,False,False,False,False,False,False,False,True,False,1.5384616e-09,3,16,4,1,1,0,0,0
False,False,False,False,False,False,False,False,False,True,False,1.5384616e-09,3,15,3,0,1,0,0,0
False,False,False,False,False,False,False,False,False,True,False,0.00014575,1,9,1,0,0,0,0,1
True,False,False,False,False,False,False,False,False,False,False,0.00011659231,1,9,1,0,0,0,0,1
False,False,False,False,False,False,False,False,True,False,False,1.5384616e-09,3,14,3,1,1,0,0,0
False,False,False,False,True,False,False,False,False,False,False,0.000119160766,1,12,2,0,0,1,0,1
False,False,False,False,False,False,False,False,False,True,False,1.5384616e-09,3,19,4,1,1,0,0,0
False,False,False,False,True,False,False,False,False,False,False,9.6146156e-05,1,8,1,0,0,0,0,1
False,False,False,False,True,False,False,False,False,False,False,1.5384616e-09,3,20,4,1,1,0,0,0
False,False,True,False,False,False,False,False,False,False,False,0.00010301769,1,10,2,0,0,1,0,1
False,False,False,False,False,False,False,False,True,False,False,1.5384616e-09,3,17,4,1,1,0,0,0
True,False,False,False,False,False,False,False,False,False,False,0.00012614462,1,12,2,0,0,1,0,1
False,False,True,False,False,False,False,False,False,False,False,0.0001351277,1,11,2,0,0,0,0,1
False,False,False,False,False,False,False,False,False,True,False,1.5384616e-09,3,12,3,0,1,0,0,0
False,False,False,False,True,False,False,False,False,False,False,1.5384616e-09,3,5,2,0,1,0,0,0
False,False,False,False,False,False,False,True,False,False,False,1.5384616e-09,3,5,2,0,1,0,0,0
False,False,False,False,False,False,True,False,False,False,False,1.5384616e-09,3,21,4,1,1,0,0,0
False,False,False,False,False,False,True,False,False,False,False,1.5384616e-09,3,14,3,1,1,0,0,0
False,False,False,False,False,False,False,True,False,False,False,1.5384616e-09,3,16,4,1,1,0,0,0
False,False,False,False,False,False,False,True,False,False,False,1.5384616e-09,3,19,4,1,1,0,0,1
False,True,False,False,False,False,False,False,False,False,False,0.00012078,1,9,1,0,0,0,0,1
False,False,True,False,False,False,False,False,False,False,False,0.000108997694,1,11,1,0,0,0,0,1
False,False,False,False,False,False,False,True,False,False,False,1.5384616e-09,3,16,3,1,1,0,0,0
False,False,False,False,False,False,True,False,False,False,False,1.5384616e-09,3,12,3,0,1,0,0,0
False,True,False,False,False,False,False,False,False,False,False,0.0001417377,1,12,1,0,0,0,0,1
False,False,False,False,False,False,False,False,False,True,False,1.5384616e-09,3,17,4,1,1,0,0,0
False,False,False,False,False,False,False,False,False,True,False,5.077077e-05,3,14,3,0,1,0,0,0
False,False,False,False,False,False,False,True,False,False,False,1.5384616e-09,3,8,2,0,1,0,0,0
False,False,False,False,False,False,True,False,False,False,False,1.5384616e-09,3,14,3,1,1,0,0,0
True,False,False,False,False,False,False,False,False,False,False,1.5384616e-09,3,14,3,0,1,0,0,0
False,False,False,False,False,False,True,False,False,False,False,1.5384616e-09,3,14,3,1,1,0,0,0
False,False,False,False,False,False,False,False,True,False,False,0.000106404616,1,11,1,0,0,0,0,1
False,False,False,False,False,False,False,False,True,False,False,0.00015298539,1,12,1,0,0,0,0,1
False,False,False,False,False,False,False,False,True,False,False,0.00014399078,1,10,2,0,0,1,0,1
False,False,False,False,False,False,False,False,False,True,False,1.5384616e-09,3,21,4,1,1,0,0,0
False,False,False,False,False,False,True,False,False,False,False,1.5384616e-09,3,17,3,1,1,0,0,0
True,False,False,False,False,False,False,False,False,False,False,0.00015256078,1,11,2,0,0,1,0,1
False,False,False,False,False,False,False,False,False,True,False,0.00015037847,1,17,2,0,0,1,0,1
False,False,False,False,False,False,False,False,False,True,False,1.5384616e-09,3,18,4,1,1,0,0,0
False,False,True,False,False,False,False,False,False,False,False,0.00013325001,1,11,2,0,0,0,0,1
False,False,False,False,False,False,False,False,True,False,False,5.3847692e-05,3,21,4,1,1,0,0,0
False,False,False,False,False,False,False,True,False,False,False,1.5384616e-09,3,12,3,0,1,0,0,0
False,False,False,False,False,False,True,False,False,False,False,1.5384616e-09,3,15,3,0,1,0,0,0
True,False,False,False,False,False,False,False,False,False,False,0.00013160385,1,13,1,0,0,0,0,1
False,False,False,False,False,False,False,False,False,True,False,1.5384616e-09,3,15,3,0,1,0,0,0
False,False,False,False,False,False,False,False,False,True,False,1.5384616e-09,3,17,4,0,1,0,1,0
False,False,False,False,False,False,True,False,False,False,False,1.5384616e-09,3,15,3,1,1,0,0,0
False,False,False,False,False,False,False,False,False,True,False,1.5384616e-09,3,14,3,0,1,0,0,0
False,False,False,False,False,False,False,False,False,True,False,1.5384616e-09,3,15,3,0,1,0,0,0
False,False,False,False,False,False,True,False,False,False,False,1.5384616e-09,3,16,3,1,1,0,0,0
False,False,False,False,True,False,False,False,False,False,False,1.5384616e-09,3,17,4,1,1,0,0,0
False,False,False,False,False,False,False,False,True,False,False,5.3847692e-05,3,5,2,0,1,0,0,0
False,False,False,False,False,False,False,False,False,True,False,1.5384616e-09,3,13,3,0,1,0,0,0
False,False,False,False,False,False,False,False,False,False,True,0.00019230923,3,14,3,1,1,0,0,0
True,False,False,False,False,False,False,False,False,False,False,0.00013831693,1,17,2,0,0,1,0,1
False,False,False,False,False,False,True,False,False,False,False,1.5384616e-09,3,5,2,1,1,0,0,0
